81411863,1,1,20190207-AV021,7/2/2019,2632.89,V,GTQ,ALIMENTOS Y FRITURAS SA,,,,,,,,,,,,,
81411863,1,1,20190214-AV046,14/02/2019,3240.42,V,GTQ,ALIMENTOS Y FRITURAS SA,,,,,,,,,,,,,
81411863,1,1,20190221-AV072,21/02/2019,6278.43,V,GTQ,ALIMENTOS Y FRITURAS SA,,,,,,,,,,,,,
81411863,1,1,20190301-AV001,1/3/2019,3240.48,V,GTQ,ALIMENTOS Y FRITURAS SA,,,,,,,,,,,,,
81411863,1,1,20190306-AV016,6/3/2019,4455.96,V,GTQ,ALIMENTOS Y FRITURAS SA,,,,,,,,,,,,,
38659786,1,1,20190103-AV011,3/1/2019,197737.87,V,GTQ,DACOGUA SA,,,,,,,,,,,,,
38659786,1,1,20190117-AV061,17/01/2019,193419.08,V,GTQ,DACOGUA SA,,,,,,,,,,,,,
38659786,1,1,20190123-AV084,23/01/2019,9088.02,V,GTQ,DACOGUA SA,,,,,,,,,,,,,
38659786,1,1,20190301-AV001,1/3/2019,191767.80,V,GTQ,DACOGUA SA,,,,,,,,,,,,,
87958643,1,9,20190109-ALI22,9/1/2019,34650.00,V,GTQ,DON T STOP ME NOW SA,,,,,,,,,,,,,
87958643,1,9,20190220-ALI39,20/02/2019,34650.00,P,GTQ,DON T STOP ME NOW SA,,,,,,,,,,,,,
87958643,1,1,20190109-AV032,9/1/2019,19503.38,V,GTQ,DON T STOP ME NOW SA,,,,,,,,,,,,,
84487488,1,1,197336,19/02/2019,4658.30,C,GTQ,ALUMBRADO PUBLICO DE VILLA NUEVA SA,,,,,,,,,,,,,
84487488,1,1,197364,25/02/2019,4674.74,C,GTQ,ALUMBRADO PUBLICO DE VILLA NUEVA SA,,,,,,,,,,,,,
6986102,1,9,20181228-ALI73,28/12/2018,58326.42,P,GTQ,PUMA ENERGY GUATEMALA SA,,,,,,,,,,,,,
6986102,1,9,20190103-ALI05,3/1/2019,56059.18,P,GTQ,PUMA ENERGY GUATEMALA SA,,,,,,,,,,,,,
6986102,1,9,20190116-ALI38,16/01/2019,51526.81,P,GTQ,PUMA ENERGY GUATEMALA SA,,,,,,,,,,,,,
6986102,1,9,20190123-ALI55,23/01/2019,152185.16,P,GTQ,PUMA ENERGY GUATEMALA SA,,,,,,,,,,,,,
6986102,1,9,20190207-ALI14,7/2/2019,103514.97,P,GTQ,PUMA ENERGY GUATEMALA SA,,,,,,,,,,,,,
6986102,1,9,20190213-ALI22,13/02/2019,51712.33,P,GTQ,PUMA ENERGY GUATEMALA SA,,,,,,,,,,,,,
6986102,1,9,20190220-ALI39,20/02/2019,51154.52,P,GTQ,PUMA ENERGY GUATEMALA SA,,,,,,,,,,,,,
6986102,1,9,20190306-ALI11,6/3/2019,52171.26,P,GTQ,PUMA ENERGY GUATEMALA SA,,,,,,,,,,,,,
6986102,1,2,20181220-ETS46,20/12/2018,182668.83,P,GTQ,PUMA ENERGY GUATEMALA SA,,,,,,,,,,,,,
